symbol,previousClose,change,pChange,yearHigh,yearLow,iep,purpose,marketCap
HDFC,2567.55,12.799999999999727,0.4985297267823305,2896,1490,2580.35, DIVIDEND - RS 23 PER SH,4518967672929.55
MINDTREE,2207.35,11,0.4983351077083381,2342.65,858.55,2218.35, INTERIM DIVIDEND - RS 7.50 PER SHARE,144606658972.57
INFY,1397.25,6.9500000000000455,0.4974056181785683,1477.55,674.95,1404.2, ANNUAL GENERAL MEETING/DIVIDEND - RS 15 PER SHARE,5196882312320.09
RAMCOCEM,946.3,4.7000000000000455,0.49667124590510897,1110,595.6,951, INTERIM DIVIDEND - RS  3 PER SHARE,122240764288.4
TATAMOTORS,315.5,1.5500000000000114,0.4912836767036486,357,84,317.05, DIVIDEND - RE 0.20/- PER SHARE,571239029121.66
SUNPHARMA,703.8,3.4500000000000455,0.490196078431379,721.85,443.4,707.25, INTERIM DIVIDEND - RS 5.50 PER SHARE,755250665181.75
TITAN,1582.95,7.75,0.4895922170630784,1621.35,868.5,1590.7, ANNUAL GENERAL MEETING/DIVIDEND - RS 4 PER SHARE,665215950222.6
SBILIFE,971.75,4.75,0.48880885001286345,1044.7,728.75,976.5, INTERIM DIVIDEND - RS 2.5 PER SHARE,383045714809.21
POWERGRID,225.6,1.0999999999999943,0.487588652482267,239.85,154.6,226.7, INTERIM DIVIDEND - RS 4 PER SHARE,585242239152.82
VEDL,268.85,1.2999999999999545,0.4835410079970074,296.3,86.25,270.15, INTERIM DIVIDEND - RS 9.50 PER SHARE,338331803688.5
AARTIIND,1664.25,7.75,0.46567522908216913,1815.05,850.3,1672, BONUS 1:1,153189911526.86
NTPC,111.1,0.5,0.45004500450045004,116.75,78.1,111.6, INTERIM DIVIDEND - RS 3 PER SHARE,524075714544.3
IBULHSGFIN,224.6,1,0.44523597506678536,263.25,115.65,225.6, INTERIM DIVIDEND - RS 9 PER SHARE,78246772302.23
LICHSGFIN,449.05,1.9499999999999886,0.4342500835096289,487.4,234.45,451, ANNUAL GENERAL MEETING/DIVIDEND - RS 8 PER SHARE,136501248240
UPL,812.6,3.449999999999932,0.4245631306915988,825.5,367.05,816.05, DIVIDEND - RS 6 PER SH,450954909040.32
RECLTD,141.4,0.5999999999999943,0.4243281471004203,157,84.15,142, INTERIM DIVIDEND - RS 5 PER SHARE,132595007061
BOSCHLTD,14882.35,62.649999999999636,0.42096846264198623,16830.05,9251.2,14945, ANNUAL GENERAL MEETING/DIVIDEND - RS 105 PER SHARE,128878093265.24
APLLTD,951.1,3.8999999999999773,0.4100515192934473,1145,791.25,955, INTERIM DIVIDEND - RS 7 PER SHARE SPECIAL DIVIDEND - RS 3 PER SHARE,56020490340
BRITANNIA,3416,14,0.4098360655737705,4010,3141,3430, SCHEME OF ARANGEMENT- BONUS - 1 DEBENTURE FOR 1 EQUITY SHARE HELD,403015654198.84
COFORGE,3484.65,14.049999999999727,0.40319687773520235,3564.1,1302,3498.7, INTERIM DIVIDEND - RS 13 PER SHARE,74132694271.34
NAM-INDIA,349.5,1.3999999999999773,0.4005722460658018,374.7,233.3,350.9, DIVIDEND - RS 5  PER SHARE,49227790497.93
JSWSTEEL,682.2,2.699999999999932,0.39577836411608497,773,174.15,684.9, DIVIDEND - RS 2 PER SHARE,659272702805.6
NMDC,177.1,0.700000000000017,0.39525691699605703,213.2,73.5,177.8, INTERIM DIVIDEND - RS 7.76  PER SHARE,167443095845.6
GRASIM,1409.4,5.5499999999999545,0.39378458918688475,1475,529.05,1414.95, DIVIDEND - RS 4 PER SHARE,540800853884.79
HDFCAMC,2819.95,11.050000000000182,0.391850919342548,3358.9,2070.05,2831, ANNUAL GENERAL MEETING/DIVIDEND - RS 28 PER SH,151182241623.45
HDFCLIFE,658.5,2.5499999999999545,0.387243735763091,746,486.25,661.05, ANNUAL GENERAL MEETING,550223214655.14
JINDALSTEL,389.85,1.5,0.38476337052712584,501.7,106.5,391.35, ANNUAL GENERAL MEETING,161101322459.74
PFC,118,0.45000000000000284,0.38135593220339226,140.5,74.15,118.45, INTERIM DIVIDEND - RS 8 PER SHARE,136027554465.79
SHREECEM,27077.4,102.59999999999854,0.3789137804959063,32048,18183.55,27180, INTERIM DIVIDEND - RS 110 PER SHARE,374678308640
BANKBARODA,80.6,0.30000000000001137,0.37220843672457987,99.85,36.75,80.9, ANNUAL GENERAL MEETING,155544231619.96
LTTS,2704.15,9.849999999999909,0.3642549414788347,3062.15,1115.45,2714, INTERIM DIVIDEND - RS 7.50 PER SHARE,74435254113.77
AMARAJABAT,742.1,2.699999999999932,0.3638323676054348,1025.55,598.55,744.8, INTERIM DIVIDEND - RS 5 PER SHARE,60467625000
HCLTECH,945.8,3.2000000000000455,0.3383379149926037,1067,516,949, INTERIM DIVIDEND - RS 6 PER SHARE SPECIAL INTERIM DIVIDEND - RS 10 PER SHARE,1022943194588.16
APOLLOTYRE,222.1,0.75,0.3376857271499325,261.25,91.7,222.85, ANNUAL GENERAL MEETING,73712356196.54
MCDOWELL-N,590.85,1.9499999999999318,0.3300330033003185,661.65,494,592.8, ANNUAL GENERAL MEETING,179408552010.93
BALKRISIND,2164.6,7.099999999999909,0.3280051741661235,2223.1,1037.6,2171.7, INTERIM DIVIDEND - RS 5 PER SHARE,178056731021.4
ICICIGI,1476.85,4.75,0.3216304973423164,1626.45,1200,1481.6, INTERIM DIVIDEND - RS 4 PER SHARE,315607070097.41
